Team Number,Country,State,City,Postal Code,State Code,fips
5222,USA,Michigan,Saginaw,48602,MI,m26145
5224,USA,Michigan,Standish,48658,MI,"m26011,m26017"
5225,USA,Michigan,Eastpointe,48021,MI,m26099
5227,USA,Michigan,Schoolcraft,49087,MI,"m26077,m26149,m26159"
5229,USA,Michigan,Saginaw,48603,MI,m26145
5230,USA,Michigan,Alpena ,49707,MI,"m26007,m26141"
5231,USA,Michigan,Shepherd,48883,MI,"m26057,m26073,m26111"
5232,USA,Minnesota,Hermantown,55811,MN,m27137
5234,USA,Michigan,Elsie,48831,MI,"m26037,m26057,m26145,m26155"
5235,USA,Michigan,Chesaning,48616,MI,"m26145,m26155"
5238,USA,Michigan,Otisville,48463,MI,"m26049,m26087"
5239,USA,Michigan,Harper Woods,48225,MI,m26163
5242,USA,Texas,Dallas,75214,TX,t48113
5243,USA,Virginia,Clifton,20124,VA,v51059
5247,USA,Michigan,East Jordan,49727,MI,"m26009,m26029"
5248,USA,Michigan,Hastings,49058,MI,m26015
5250,USA,California,Sacramento,95827,CA,c06067
5253,USA,Minnesota,Bigfork,56628,MN,m27061
5254,USA,New York,Trumansburg,14886,NY,"n36097,n36099,n36109"
5256,USA,Michigan,Lake Odessa,48849,MI,"m26015,m26045,m26067"
5257,USA,Michigan,Coleman,48618,MI,"m26051,m26073,m26111"
5260,USA,Michigan,Owosso,48867,MI,"m26145,m26155"
5261,USA,Texas,Humble,77338,TX,t48201
5263,USA,Michigan,Riverview,48193,MI,m26163
5265,USA,Maine,Portland,04103,ME,m23005
5268,USA,Kansas,Olathe,66062,KS,k20091
5274,USA,California,Sacramento,95827,CA,c06067
5275,USA,Minnesota,New Prague,56071,MN,"m27079,m27131,m27139"
5276,USA,Florida,Tampa,33612,FL,f12057
5278,USA,Minnesota,Minneapolis,55408,MN,m27053
5279,USA,Virginia,Altavista,24517,VA,v51031
5282,USA,Michigan,Durand,48429,MI,"m26049,m26155"
5283,USA,Florida,Tampa,33610,FL,f12057
5285,USA,California,Palos Verdes Estates,90274,CA,c06037
5290,USA,Minnesota,Forest Lake,55025,MN,"m27003,m27025,m27163"
5293,USA,Georgia,Duluth,30096,GA,g13135
5295,USA,Washington,Shelton,98584,WA,w53045
5298,USA,New York,Astoria,11106,NY,n36081
5299,USA,Minnesota,Red Wing,55066,MN,m27049
5310,USA,New Jersey,East Orange,07017,NJ,n34013
5314,USA,Michigan,Pellston,49769,MI,"m26031,m26047"
5316,USA,Michigan,Saranac,48881,MI,m26067
5317,USA,South Carolina,Blythewood,29016,SC,"s45039,s45079"
5326,USA,Missouri,St. Louis,63131,MO,m29189
5327,USA,South Carolina,Winnsboro,29180,SC,"s45039,s45079"
5329,USA,Florida,Miami,33199,FL,f12086
5332,USA,Georgia,Decatur,30030,GA,g13089
5338,USA,Virginia,Leesburg,20175,VA,v51107
5339,USA,Minnesota,Houston,55943,MN,"m27055,m27169"
5340,USA,Minnesota,Minneapolis,55403,MN,m27053
5348,USA,Minnesota,Cokato,55321,MN,"m27093,m27171"
5350,USA,Illinois,Chicago,60612,IL,i17031
5401,USA,Pennsylvania,Bensalem,19020,PA,p42017
5402,USA,Indiana,Walton,46994,IN,i18017
5403,USA,Indiana,Bedford,47421,IN,"i18093,i18105"
5404,USA,Pennsylvania,Lansdale,19446,PA,p42091
5407,USA,Pennsylvania,Conshohocken,19428,PA,p42091
5410,USA,Florida,Pompano Beach,33073,FL,f12011
5411,USA,Texas,Prosper,75078,TX,"t48085,t48121"
5413,USA,Ohio,Shelby,44875,OH,"o39033,o39139"
5414,USA,Texas,Pearland,77584,TX,"t48039,t48157"
5417,USA,Texas,Allen,75013,TX,t48085
5418,USA,Ohio,Hubbard,44425,OH,"o39099,o39155"
5419,USA,California,Berkeley,94704,CA,c06001
5420,USA,New Jersey,Bridgeton,08302,NJ,"n34011,n34033"
5421,USA,New York,New York,10075,NY,n36061
