County,Teams
c39119,"3010,4085,4283,5667,6027,6834"
c06115,"4643"
c06113,"1678,5458,6174"
c06111,"1138,3863,3925,4414,4711,6398,6553,6764,6934,7323,7324,7326,7327,7415,7887"
c56001,"159,1977,4388,4499"
c56003,"1303"
c56005,"5657"
c56007,"1303"
c31047,"6359"
c56009,"5657"
c12071,"6743,7193"
c12073,"6145,6184"
c12075,"4118,5145"
c12077,"6145"
c12079,"6145,6184"
c17009,"4156,4314"
c26161,"66,548,830,1076,1502,3322,3641,3656,3668,5066,5067,5523,5530,5567,5708,5853,6081,6101,6538,6583,6591,6615,7147,7175,7501,7660"
c26163,"123,280,313,548,815,862,1189,1250,1701,2048,2224,2591,2620,2673,2676,2832,3096,3175,3604,3619,3632,4380,4390,4405,4680,4758,4768,4838,4840,4851,4854,5050,5065,5090,5197,5214,5217,5239,5263,5467,5478,5498,5531,5532,5577,5619,5695,5756,5901,5915,6013,6029,6057,6089,6096,6099,6116,6152,6190,6528,6532,6583,6615,6616,6618,6742,6861,6862,6914,6954,7143,7145,7168,7174,7191,7196,7232,7692,7716,7788,7789,7807,7820,7856,7859,7865"
c26165,"5086,6066,7155,7855"
c21179,"5492,6858,7516"
c21173,"7693"
c21171,"4306,4740,5186,7525"
c21177,"7484"
c21175,"7693"
c40111,"3163"
c51109,"540,1086,2106"
c27169,"2977,3090,5339,7596"
c40115,"3160"
c40117,"1750"
c18021,"5188"
c40119,"1750"
c51101,"4286"
c27161,"7541"
c51103,"6312"
c27167,"3278,3293,3297,3839,4539,4703"
c32013,"5480"
c27165,"3122"
c51107,"612,2186,5338"
c38089,"4593"
c38085,"7578"
c38087,"4593"
c38081,"4818,7048"
c38083,"7578"
c47143,"4265,4462"
c47141,"6846"
c47147,"4306,4740,5186,7525"
c47145,"4265,4462"
c47149,"6846"
c13263,"4188"
c50019,"2523"
c21005,"2856"
c21003,"4306,4740,5186,7525"
c18029,"3814"
c51035,"3072"
c51036,"1080"
c51037,"977"
c51031,"5279"
c21009,"4306,4740,5186,7525"
c51740,"3359"
c37193,"6639"
c55053,"7021"
c37191,"3737"
c55051,"6345,7638"
c37197,"5679"
c55057,"5903"
c37195,"2682"
c55055,"269,6574"
c37199,"5854"
c55059,"930,6421,6643,6807,7900"
c37005,"3072"
c48213,"3310,7708"
c48359,"4694"
c48211,"4694"
c47039,"4306"
c47037,"4306,4740,5186,7525"
c47035,"4265,4462"
c47033,"5002"
c47031,"547"
c48217,"2950,7511"
c18179,"1501"
c13035,"6750"
c45091,"1539"
c18173,"6498"
c48215,"2966,3028,3029,4332,5894,5960,6180,6664,6733,6754,6830"
c40113,"1209"
c18175,"4926"
c33013,"131,501,1247,1512,1517,1721,1922,5813,6690,7314"
c51690,"1262,3258"
c36023,"639,5254"
c48357,"4694"
c36025,"4203"
c27163,"2175,2207,2501,2508,2532,3007,3130,3206,3454,3883,3926,4506,5290,6912"
c38065,"7578"
c38063,"877"
c38061,"877"
c33015,"131,238,1058,3467,5902,6324,6763,7126"
c38069,"877"
c13241,"6899,6932"
c13033,"6715"
c13243,"5848"
c18005,"4926"
c13245,"1102,5734,6715,6716,7076,7883"
c18003,"4982"
c13247,"1795,4026,4080,5074,5332,5651,6340,6705"
c01029,"3139"
c13249,"4730,5828,5840,6471,6919,7315"
c01027,"3139"
c01025,"7512"
c01023,"590"
c01021,"3139"
c48371,"7750"
c48373,"7440"
c48375,"4694"
c48377,"7750"
c36009,"7251"
c48379,"148,7708"
c36007,"2053"
c36005,"395,743,1155,1230,2265,3004,3760,4773,5123,5806"
c36003,"6892"
c36001,"20,250,1493,2791,5881,5964,7031,7651"
c40059,"6809"
c31133,"5968"
c54003,"2988"
c01113,"4188"
c01111,"3581"
c01117,"3139"
c01115,"538"
c01119,"590"
c02130,"3238"
c53069,"3812"
c53065,"4980,6076"
c53067,"4450,6959"
c53061,"1778,2522,2903,2910,2930,3268,3663,4089,4309,4512,4681,4683,7627"
c53063,"1595,2147,2148,2944,3220,3693,4104,4513,6129"
c41067,"1425,1510,1540,2374,2898,2915,3192,4127,4488,4662,5970,6443"
c41065,"6831"
c54099,"3821"
c41063,"3712"
c41061,"3712"
c54095,"7515"
c31131,"7785"
c54097,"2614"
c54091,"2614"
c54093,"1629"
c41069,"753"
c05057,"6186"
c05055,"7896"
c55095,"2532,3038,5290,5464"
c05053,"7878"
c05051,"6855"
c05059,"6855"
c55093,"2861,3691,3751,3848,5299,6217,7273"
c42049,"63,156,291,2544"
c05129,"16,323"
c05127,"5437"
c05125,"6131,6640,7767,7804"
c55091,"7021"
c05123,"7568,7868"
c05121,"7483"
c20189,"4694"
c20185,"935"
c20187,"4694"
c06043,"1323,1422"
c02220,"568"
c20183,"6359"
c13069,"7499"
c13061,"5848"
c13063,"3344,5219,6925"
c13065,"3556"
c13067,"832,1002,1311,2974,4193,4459,4516,4910,5608,6341,7449"
c01131,"590"
c48119,"148,7708"
c48111,"4694"
c09015,"6333,7760"
c55099,"6732"
c09013,"173,177,1699,2170,3555,7153"
c09011,"236,1699,1740,2168,3719"
c29119,"3612,5454,5568,7260"
c29111,"7141"
c29113,"1094,1288,1706,3330,4329,7435"
c29115,"4809"
c29117,"4809"
c06001,"2204,2489,4186,5419,5499,6059,6619,6718,7245,7419"
c54047,"6802"
c39001,"7693"
c13115,"4195"
c13117,"1261,1683,1746,1771,3815,4112,6325,6829,6905,6944,7451"
c13111,"6712"
c13113,"3344"
c21007,"7255"
c39007,"5973"
c13119,"4189,5132,6910"
c31127,"7785"
c29209,"5730"
c29205,"4809"
c29207,"4356,7255"
c29201,"4356,7255"
c29203,"6817"
c54031,"3274"
c22073,"3468,7834,7874,7914"
c26009,"4376,4377,4983,5110,5247,5560,6087,7208,7861"
c22071,"4087,5168,7275,7288,7316,7648,7661"
c22077,"6923"
c22075,"5965,5971,7275,7288,7412,7661"
c26003,"6112"
c17103,"6651"
c26001,"5525,7172,7250"
c17101,"7454"
c26007,"5230,5505,6077,7084"
c17107,"2481,4143,5442"
c26005,"74,85,107,2054,3458,4855,5152,5161,5173,5194,5610,5927,6043,6090,6114,6589"
c17105,"7848"
c39129,"128,677,1014,1317,3324,3591,4085,4145,4269,5667,6916,6927,6964"
c39125,"4982"
c39127,"4085"
c39121,"7515"
c39123,"2252,7165"
c30029,"3216"
c56019,"1303"
c56017,"1303"
c56015,"5657"
c56013,"3288"
c56011,"4593"
c31129,"6359"
c20167,"3172"
c20165,"3172"
c12049,"3627"
c20161,"5968"
c12045,"6145"
c12047,"3556"
c12041,"4118,5145"
c20169,"3172"
c22109,"2183,3039"
c22107,"7836"
c22105,"2080"
c22103,"1912,2078,2221,2992,3946"
c22101,"5997,6103"
c20087,"1802,7064"
c21169,"5492,6858,7516"
c20129,"4694"
c31059,"6359"
c21161,"7693"
c21163,"5492,6858,7516"
c21165,"7693"
c21167,"2856"
c06097,"2551,5728,6814,6883,6918"
c30085,"877"
c30087,"6400"
c30081,"3216"
c30083,"4593"
c40125,"2341,3247,6900,7473"
c40127,"3152"
c30089,"7301"
c40123,"2352"
c38099,"876"
c29155,"7896"
c38093,"7578"
c38091,"876"
c38097,"876"
c38095,"877"
c41045,"2594"
c20121,"1108"
c19189,"2957,4260,7541"
c19185,"6419"
c19187,"3928"
c19181,"6419"
c19183,"167,5041"
c21015,"3814"
c51029,"6194"
c21011,"7693"
c21013,"3844"
c48327,"6935"
c51023,"3939"
c51580,"3939"
c31139,"5906"
c29153,"16,323"
c21019,"7693"
c51025,"5954"
c51750,"401"
c19165,"5906"
c19163,"648,6317"
c19161,"7309"
c19169,"3928"
c55041,"7768,7827"
c08069,"159,1977,4388,4499"
c55043,"171"
c51590,"1598"
c55045,"81"
c55047,"7915"
c37169,"5679"
c55049,"171"
c37167,"3661"
c37165,"7029"
c39015,"554"
c37163,"7443"
